Issue Type,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Sprint,Description
"Epic","Facility, Service & Capacity Model","Facility Capacity Model","","Medium","","F-001","","Objects Facility/Service/Facility_Service/Session/Holiday; MO screen flow to define per-session capacity (D-007); reserve/bookable formula fields (D-009); discovery data."
"Epic","Slot Generation Engine","Slot Generation Engine","","Medium","","F-001","","VS_SlotGenBatch generating 15-min slots (D-008) within sessions, distributing bookable capacity (A-005/D-023), respecting holidays + drive-day override (D-018), booking horizon (REQ-013)."
"Epic","Slot-Integrity Booking (§3.4 crown jewel)","Slot Integrity Booking","","Highest","","F-001","","VS_BookingService.book - single VS_Session__c FOR UPDATE lock for ALL booking types (online/staff/walk-in, D-019); per-slot ceiling (REQ-008) and walk-in reserve (D-009) checked inside one lock; booking reference (D-016); confirmation seam."
"Epic","Cancel / Reschedule / No-Show","Cancel Reschedule NoShow","","Medium","","F-001","","Self-service cancel+reschedule with 4-hour cut-off (D-010); free-the-place; VS_NoShowBatch end-of-day marking; capture No_Show_Count."
"Epic","Patient & Identity","Patient Identity","","Medium","","F-001","","VS_Patient__c C1-minimal, no-Aadhaar; VS_PatientService.findOrCreate exact-match de-dup via unique match key (D-011/D-017); booker != patient; DPDP consent capture (D-024)."
"Epic","Citizen Access & Discovery","Citizen Access Discovery","","Medium","","F-001","","OTP auth stub (D-013); Experience Cloud citizen surface; discovery by service+proximity; accessible LWC booking journey (WCAG 2.1 AA); i18n-ready labels."
"Epic","Notification Seam","Notification Seam","","Medium","","F-001","","VS_ISmsProvider/VS_SmsService log-only (D-014) writing to VS_Notification_Log__c; booking confirmation; helpline+template metadata."
"Epic","Security, Sharing & Compliance","Security Sharing Compliance","","Medium","","F-001","","Permission sets; OWD + criteria/sharing-set visibility; WITH USER_MODE/FLS; session timeout; residency; synthetic seed; retention purge; no-Aadhaar guard; bulk-export gating."
"Task","Build facility/service/session capacity objects","","Facility Capacity Model","Medium","5","EP-01 dev-mid F-001","Sprint 1","Build VS_Facility__c, VS_Service__c, VS_Facility_Service__c, VS_Holiday__c, VS_Session__c with every field from design section 2.3, each described. Operationalizes per-session capacity (D-007) and reserve/bookable split (D-009).
AC:
- All five objects deploy with described fields.
- VS_Session__c.VS_Total_Capacity__c set -> reserve/bookable formulas compute (CEILING against WalkInReservePct).
- VS_Facility_Service__c duplicate facility+service rejected by unique external id.
Depends on: none (Sprint 1 foundation)"
"Task","Create VS_Setting__mdt config + seed values","","Facility Capacity Model","Medium","2","EP-01 dev-mid F-001","Sprint 1","Deploy VS_Setting__mdt as the single home for every tunable (walk-in %, cut-off hours, granularity, horizon) so DHS can adjust without code deploy.
AC:
- Exposes CutOffHours=4 (D-010), WalkInReservePct=25 (D-009), DefaultSlotGranularityMins=15 (D-008), BookingHorizonDays=14, ReminderOffsetsHours, NoShowThresholdCount.
- Value change in Setup requires no code redeploy.
Depends on: none (Sprint 1 foundation)"
"Story","MO screen flow: define session capacity + drive-day","","Facility Capacity Model","Medium","5","EP-01 dev-mid F-001","Sprint 1","Build VS_Session_Screen_DefineCapacity screen flow so an MO can create sessions/capacity/drive-days without developer help; drive-day overrides holiday closure (D-018) for VS-06 slot gen to honor.
AC:
- Facility+service+date -> VS_Session__c created with capacity and reserve/bookable formulas populated.
- Drive Day checked -> VS_Is_Drive_Day__c=true so slot gen opens the date even if VS_Holiday__c marks it closed.
- Flow element fails -> plain-language message + facility helpline (C7.3), writes VS_Error_Log__c.
Depends on: VS-01, VS-02"
"Task","Permission sets, OWD, session timeout, MIS export gate","","Security Sharing Compliance","Medium","5","EP-08 dev-mid F-001 Tier-1","Sprint 1","Configure OWD and six role permission sets so each persona sees only what it should; enforce <=15min shared-device session timeout (REQ-055); gate (permission-bit only) bulk-export to District MIS (REQ-036).
AC:
- Reference/bookable objects = Public Read Only; person/booking objects = Private (section 6.2).
- Six permission sets assigned; user without one gets no access beyond OWD.
- Shared-device role idle 15 min -> session times out.
- VS_District_MIS alone carries the export/bulk-data permission bit (gating only, no export UI built).
Depends on: VS-01"
"Task","VS_Slot__c object & fields","","Slot Generation Engine","Medium","2","EP-02 dev-mid F-001 Tier-1","Sprint 1","Build VS_Slot__c carrying the per-slot published capacity ceiling (REQ-008), read/written only inside the VS_Session__c lock per D-020 (lock itself implemented in VS-09; this is schema only).
AC:
- Master-Detail to VS_Session__c; VS_Slot_Start__c/VS_Slot_End__c; VS_Capacity__c; VS_Booked_Count__c; VS_Status__c (Open/Full/Closed/Cancelled), each described.
- Session delete cascades slots (no orphans).
Depends on: VS-01"
"Story","VS_SlotGenBatch: generate slots from sessions","","Slot Generation Engine","High","8","EP-02 dev-senior F-001 Tier-1","Sprint 1","Build VS_SlotGenBatch generating 15-min slots from session bookable capacity, honoring holidays + drive-day override (D-018) and booking horizon. D-023: even-distribution logic MUST live in exactly ONE private method (drift-check radar item). Must be bulk-safe at 250+ sessions (REQ-062).
AC:
- Session with Bookable_Capacity=60 at 15-min granularity -> slot capacities sum to exactly 60 (even split, remainder to earliest slots, A-005/D-023).
- Holiday date, no drive-day session -> no slots generated.
- Holiday date WITH drive-day session -> slots generated for that session only (D-018).
- BookingHorizonDays=14 -> no slots beyond horizon.
- 250+ sessions -> completes with no SOQL/DML in loops, no governor-limit exceptions.
Depends on: VS-01, VS-02, VS-05"
"Task","VS_Patient__c object & fields (C1-minimal, no-Aadhaar)","","Patient Identity","Medium","2","EP-05 dev-mid F-001 Tier-1","Sprint 1","Build VS_Patient__c with exactly the C1.1 minimum person fields and NO Aadhaar field/label anywhere (REQ-044) - a structural AC re-verified by QA Tier-1. Unique VS_Match_Key__c (D-017, enforced in VS-10). DPDP consent copy = Custom Label prefixed [[DRAFT - pending department approval]] per D-024, never hardcoded text.
AC:
- Only fields: VS_Full_Name__c, VS_Date_Of_Birth__c, VS_Gender__c (optional), VS_Mobile__c, VS_Locality__c, VS_Pincode__c, VS_Email__c (optional) - exactly C1.1.
- Org metadata searched for Aadhaar-named field/label anywhere -> zero matches (structural AC).
- VS_Match_Key__c ExternalId+Unique -> duplicate name|DOB|mobile insert rejected at DB (D-017, proven in VS-10).
- VS_Consent_Given__c/VS_Consent_Timestamp__c exist; record not usable for booking without consent=true (enforced in VS-10).
Depends on: none (Sprint 1 foundation)"
"Task","VS_Appointment__c object & fields","","Slot Integrity Booking","High","2","EP-03 dev-mid F-001 Tier-1","Sprint 1","Build VS_Appointment__c, the record VS_BookingService.book() (VS-09) inserts, carrying unique typeable VS_Booking_Reference__c (D-016, 8-char Crockford base32) and NO clinical/diagnosis fields (REQ-045).
AC:
- Lookups to Patient/Slot/Session/Facility/Service; VS_Booking_Reference__c (ExternalId+Unique); VS_Status__c (Booked/CheckedIn/Completed/Cancelled/NoShow/WalkIn); VS_Booked_Channel__c; VS_Booked_By_Mobile__c; VS_Dose_Number__c; VS_Cancelled_At__c.
- Object scanned for clinical/diagnosis fields -> none exist.
Depends on: VS-01, VS-05, VS-07"
"Story","VS_BookingService.book() - single session-lock booking","","Slot Integrity Booking","Highest","8","EP-03 dev-senior F-001 Tier-1","Sprint 1","Build VS_BookingService.book(patientId, slotId, bookedById, channel) as the SINGLE public entry point for online, staff, and walk-in booking. Per D-019/D-020 this method MUST take exactly one lock: SELECT ... FOR UPDATE on the parent VS_Session__c row (never VS_Slot__c - D-015 superseded/retracted), checking the per-slot ceiling AND the walk-in reserve inside that one lock before insert with a unique VS_Booking_Reference__c (D-016). MANDATORY test class: (1) capacity-exhaustion test, (2) mixed online/walk-in parallel-booking concurrency test proving no overbooking (the exact case D-015 could not prove, D-019 exists to prove it), plus a negative test with meaningful row-count asserts. Insert uses WITH USER_MODE/Security.stripInaccessible.
AC:
- One remaining bookable slot place, 50 parallel book() calls -> exactly one appointment created, Booked_Count never exceeds Capacity, others catch VS_BookingException('SLOT_FULL').
- One remaining walk-in reserve place, 50 parallel walk-in book() calls -> exactly one succeeds, Walk_In_Used_Count never exceeds Walk_In_Reserve_Count.
- Mixed burst of online+walk-in book() calls for the last shared place -> exactly one booking of any type succeeds, no overbooking (mandatory D-019 proof).
- Successful book() -> unique VS_Booking_Reference__c (D-016), CRUD/FLS enforced.
- Exactly ONE public entry point for all channels - no separate VS_WalkInService, no second lock target.
- Test class includes capacity-exhaustion test AND mixed-burst test (both mandatory) plus negative test.
Depends on: VS-01, VS-02, VS-05, VS-07, VS-08"
"Story","VS_PatientService.findOrCreate (exact-match de-dup)","","Patient Identity","High","5","EP-05 dev-senior F-001","Sprint 2","Build VS_PatientService.findOrCreate implementing D-011 exact-match (name+DOB+mobile) de-dup, NO fuzzy matching, race-safe via D-017 unique VS_Match_Key__c external id (upsert-by-external-id). Enforces DPDP consent capture (D-024 Custom Label, DRAFT-prefixed) before creating a new patient.
AC:
- Identical normalized name+DOB+mobile triple exists -> existing Id returned, no new row.
- Any single field differs -> new patient created (known-duplicate limitation per D-011, not silently merged).
- Two calls race for the same new match key -> DB unique constraint on VS_Match_Key__c prevents duplicate insert (D-017).
- VS_Consent_Given__c not true -> method throws instead of creating a patient without consent; stamps VS_Consent_Timestamp__c on success.
Depends on: VS-07"
"Story","VS_BookingService.cancel/reschedule (cut-off, session-lock reuse)","","Cancel Reschedule NoShow","High","8","EP-04 dev-senior F-001 Tier-1","Sprint 2","Extend the booking service with cancel()/reschedule(), reusing the SAME session-row lock pattern from VS-09 (D-019/D-020) - no new lock target. Enforces the 4-hour cut-off (D-010). Cross-session reschedule locks both session rows ordered by session Id to avoid deadlock.
AC:
- Within CutOffHours (4h) of slot start -> cancel() rejected with a user-actionable message.
- Cut-off not passed -> cancel() succeeds: session row locked FOR UPDATE, Booked_Count (or Walk_In_Used_Count) decrements, slot status flips Full->Open if applicable, all in one transaction.
- reschedule() across two sessions -> locks both ordered by session Id (deadlock-safe), cancels old and books new atomically.
- Old and new slots share the same session -> only one lock taken.
- Test class includes a negative test (attempt inside cut-off) with final row/counter asserts.
Depends on: VS-09"
"Story","VS_NoShowBatch (scheduled, idempotent)","","Cancel Reschedule NoShow","Medium","5","EP-04 dev-senior F-001","Sprint 2","Build a scheduled, idempotent batch marking unattended bookings NoShow at day's end and incrementing VS_Patient__c.VS_No_Show_Count__c.
AC:
- Booked appointment, slot passed, no check-in -> status becomes NoShow, No_Show_Count increments by 1.
- Batch runs twice on same appointment -> count does not double-increment (idempotency).
- 200+ appointments due (REQ-062) -> no SOQL/DML in a loop, completes within governor limits.
Depends on: VS-08"
